"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CUR dtest with steps","This will create a new Store","SUCCESS","2022-06-07T21:56:04.844+01:00[Europe/London]","0.0","0.11"
"Stores CUR dtest with steps","Verify if the store was added to the application","SUCCESS","2022-06-07T21:56:04.954+01:00[Europe/London]","0.0","0.23"
"Stores CUR dtest with steps","Update the store information and verify the updated information","SUCCESS","2022-06-07T21:56:05.193+01:00[Europe/London]","0.0","0.48"
"Stores CUR dtest with steps","Delete the stores and verify if the stores is deleted!","SUCCESS","2022-06-07T21:56:05.675+01:00[Europe/London]","0.0","0.09"
